GENERIC_BLAME,CONDITION
1.4,wysoka_kontrola
3,niska_kontrola
2.8,niska_kontrola
2.6,wysoka_kontrola
2.6,niska_kontrola
3.6,wysoka_kontrola
3,wysoka_kontrola
2.2,niska_kontrola
3.6,wysoka_kontrola
3.2,niska_kontrola
2,wysoka_kontrola
2,wysoka_kontrola
3.2,niska_kontrola
2.4,wysoka_kontrola
3.4,wysoka_kontrola
4,wysoka_kontrola
3,wysoka_kontrola
5,niska_kontrola
3,wysoka_kontrola
1.4,wysoka_kontrola
2.4,niska_kontrola
2,niska_kontrola
2.6,niska_kontrola
3.2,wysoka_kontrola
1.6,niska_kontrola
1.6,wysoka_kontrola
4,niska_kontrola
3.4,niska_kontrola
2.2,wysoka_kontrola
3,wysoka_kontrola
2.2,wysoka_kontrola
3.8,niska_kontrola
5,niska_kontrola
3.2,wysoka_kontrola
3.4,niska_kontrola
3.6,wysoka_kontrola
2.8,wysoka_kontrola
3.2,niska_kontrola
1,niska_kontrola
4,wysoka_kontrola
2.6,niska_kontrola
2.4,wysoka_kontrola
2.4,niska_kontrola
3.8,wysoka_kontrola
1,wysoka_kontrola
4.4,niska_kontrola
3.6,niska_kontrola
1.8,wysoka_kontrola
3,wysoka_kontrola
3.6,wysoka_kontrola
5,niska_kontrola
4.2,niska_kontrola
2.8,niska_kontrola
4.2,niska_kontrola
3.2,wysoka_kontrola
3,wysoka_kontrola
2.2,wysoka_kontrola
3.4,wysoka_kontrola
2.8,wysoka_kontrola
2,wysoka_kontrola
3.4,wysoka_kontrola
3.4,wysoka_kontrola
3.2,wysoka_kontrola
1.8,wysoka_kontrola
1.8,wysoka_kontrola
3.6,wysoka_kontrola
2.8,niska_kontrola
3,niska_kontrola
3.2,niska_kontrola
2,wysoka_kontrola
3.2,niska_kontrola
2,wysoka_kontrola
4.4,niska_kontrola
4.6,niska_kontrola
1.6,niska_kontrola
2.6,niska_kontrola
4.4,wysoka_kontrola
3,wysoka_kontrola
2,wysoka_kontrola
4,wysoka_kontrola
4.4,niska_kontrola
4,wysoka_kontrola
5,niska_kontrola
2.4,niska_kontrola
1.2,wysoka_kontrola
3.4,wysoka_kontrola
2,wysoka_kontrola
3.4,niska_kontrola
3.2,wysoka_kontrola
2.4,wysoka_kontrola
1.8,wysoka_kontrola
4.6,wysoka_kontrola
1,niska_kontrola
2.8,niska_kontrola
2,wysoka_kontrola
1,wysoka_kontrola
3.4,niska_kontrola
